temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),weather_heavy intensity rain,Year,Month,Day,weather_broken clouds,weather_sky is clear,weather_few clouds,weather_light rain,weather_moderate rain,weather_overcast clouds,weather_scattered clouds
9.53,,6.9,11.18,1022.0,92.0,1.22,18.0,0,0.0,0.502,0.0,0,2023,3,15,0,0,1,0,0,0,0
9.56,,8.86,10.62,1022.0,92.0,1.37,8.0,1,0.0,0.504,0.0,0,2023,3,15,0,1,0,0,0,0,0
8.99,,8.13,10.07,1022.0,93.0,1.52,6.0,2,0.0,0.494,0.0,0,2023,3,15,0,1,0,0,0,0,0
8.98,,7.75,9.51,1021.0,93.0,1.51,4.0,3,0.0,0.495,0.0,0,2023,3,15,0,1,0,0,0,0,0
9.38,,5.23,9.56,1020.0,93.0,1.42,3.0,4,0.0,0.349,0.0,0,2023,3,15,0,1,0,0,0,0,0
8.34,,4.67,9.2,1020.0,92.0,1.65,3.0,5,0.0,0.337,0.0,0,2023,3,15,0,1,0,0,0,0,0
8.84,,4.12,9.2,1020.0,91.0,1.61,5.0,6,0.0,0.275,0.0,0,2023,3,15,0,1,0,0,0,0,0
8.82,,4.67,9.0,1019.0,88.0,1.83,10.0,7,0.0,0.37,0.161,0,2023,3,15,0,1,0,0,0,0,0
10.03,,7.13,10.11,1019.0,83.0,1.43,36.0,8,0.65,0.0,0.325,0,2023,3,15,0,0,0,0,0,0,1
12.78,,8.4,12.89,1019.0,73.0,1.33,46.0,9,0.0,0.0,0.257,0,2023,3,15,0,0,0,0,0,0,1
15.06,,12.13,15.11,1018.0,63.0,1.15,38.0,10,0.0,0.0,0.252,0,2023,3,15,0,0,0,0,0,0,1
17.82,,14.13,17.89,1018.0,59.0,1.21,36.0,11,0.0,0.0,0.253,0,2023,3,15,0,0,0,0,0,0,1
18.91,,16.13,19.0,1017.0,54.0,1.45,31.0,12,0.0,0.0,0.255,0,2023,3,15,0,0,0,0,0,0,1
20.02,,17.13,20.31,1016.0,42.0,2.01,31.0,13,0.0,0.0,0.25,0,2023,3,15,0,0,0,0,0,0,1
20.47,,14.51,21.42,1015.0,40.0,2.19,41.0,14,0.0,0.0,0.247,0,2023,3,15,0,0,0,0,0,0,1
21.15,,18.13,21.98,1015.0,39.0,2.43,31.0,15,0.0,0.0,0.246,0,2023,3,15,0,0,0,0,0,0,1
21.06,,16.18,23.01,1014.0,43.0,2.09,25.0,16,0.0,0.0,0.245,0,2023,3,15,0,0,0,0,0,0,1
21.02,,16.18,21.23,1014.0,45.0,1.96,24.0,17,0.15,0.0,0.088,0,2023,3,15,0,0,1,0,0,0,0
15.95,,15.62,16.64,1014.0,71.0,1.27,24.0,18,0.687,0.0,0.003,0,2023,3,15,0,0,1,0,0,0,0
14.46,,14.13,15.07,1014.0,76.0,0.21,25.0,19,1.536,0.0,0.0,0,2023,3,15,0,0,0,0,0,0,1
13.21,,12.13,14.75,1015.0,77.0,0.29,15.0,20,0.791,0.0,0.0,0,2023,3,15,0,0,1,0,0,0,0
13.35,,11.13,14.2,1014.0,69.0,1.41,28.0,21,0.626,0.0,0.0,0,2023,3,15,0,0,0,0,0,0,1
13.33,,10.79,13.45,1014.0,68.0,1.2,42.0,22,0.0,0.646,0.0,0,2023,3,15,0,0,0,0,0,0,1
11.22,,10.23,12.29,1014.0,78.0,1.59,44.0,23,0.0,0.491,0.0,0,2023,3,15,0,0,0,0,0,0,1
10.75,,9.12,11.73,1013.0,78.0,1.27,42.0,0,0.0,0.704,0.0,0,2023,3,16,0,0,0,0,0,0,1
9.89,,8.01,11.64,1012.0,78.0,1.51,98.0,1,0.0,2.672,0.0,0,2023,3,16,0,0,0,0,0,1,0
9.14,,7.45,11.09,1012.0,78.0,1.48,98.0,2,0.0,0.914,0.0,0,2023,3,16,0,0,0,0,0,1,0
9.43,,7.45,11.09,1011.0,77.0,1.52,99.0,3,0.0,0.26,0.0,0,2023,3,16,0,0,0,0,0,1,0
8.83,,6.9,10.53,1011.0,79.0,1.42,99.0,4,0.0,0.24,0.0,0,2023,3,16,0,0,0,0,0,1,0
8.23,,6.9,9.98,1010.0,77.0,1.35,99.0,5,0.0,0.236,0.0,0,2023,3,16,0,0,0,0,0,1,0
8.49,,8.13,9.42,1011.0,78.0,0.72,99.0,6,0.0,0.235,0.0,0,2023,3,16,0,0,0,0,0,1,0
10.57,,8.13,10.67,1011.0,78.0,1.16,100.0,7,0.0,1.145,0.097,0,2023,3,16,0,0,0,0,0,1,0
11.1,,8.13,11.98,1011.0,78.0,1.25,100.0,8,0.631,0.0,0.191,0,2023,3,16,0,0,0,0,0,1,0
12.26,,10.07,13.09,1011.0,78.0,1.92,100.0,9,0.015,0.0,0.244,0,2023,3,16,0,0,0,0,0,1,0
13.41,,11.73,14.2,1011.0,81.0,3.05,100.0,10,0.0,0.0,0.261,0,2023,3,16,0,0,0,0,0,1,0
14.54,,12.84,14.67,1010.0,78.0,3.96,100.0,11,0.965,0.0,0.554,0,2023,3,16,0,0,0,0,0,1,0
16.17,,13.95,18.64,1009.0,67.0,4.23,98.0,12,0.12,0.0,0.353,0,2023,3,16,0,0,0,0,0,1,0
17.75,,14.13,19.75,1009.0,60.0,3.84,100.0,13,0.124,0.0,0.257,0,2023,3,16,0,0,0,0,0,1,0
18.35,,14.13,19.67,1008.0,59.0,3.69,100.0,14,0.085,0.0,0.237,0,2023,3,16,0,0,0,0,0,1,0
16.17,,13.95,18.56,1008.0,73.0,4.43,100.0,15,0.094,0.0,0.223,0,2023,3,16,0,0,0,0,0,1,0
14.55,,13.31,15.23,1009.0,82.0,3.05,100.0,16,0.162,0.0,0.166,0,2023,3,16,0,0,0,0,0,1,0
14.55,,13.86,14.56,1009.0,80.0,2.43,100.0,17,0.783,0.0,0.021,0,2023,3,16,0,0,0,0,0,1,0
14.53,,13.13,15.23,1009.0,80.0,2.64,100.0,18,0.955,0.0,0.003,0,2023,3,16,0,0,0,1,0,0,0
13.44,,12.2,14.12,1008.0,86.0,2.16,100.0,19,0.964,0.0,0.0,0,2023,3,16,0,0,0,1,0,0,0
13.4,,11.64,13.56,1009.0,89.0,3.04,100.0,20,0.559,0.0,0.0,0,2023,3,16,0,0,0,1,0,0,0
12.38,,12.2,13.13,1010.0,92.0,2.48,93.0,21,0.668,0.0,0.0,0,2023,3,16,0,0,0,1,0,0,0
12.37,,11.98,13.13,1010.0,93.0,1.75,75.0,22,0.0,0.642,0.0,0,2023,3,16,1,0,0,0,0,0,0
11.84,,11.42,13.13,1010.0,93.0,1.69,62.0,23,0.0,0.711,0.0,0,2023,3,16,1,0,0,0,0,0,0
11.57,,10.86,13.13,1010.0,93.0,1.8,54.0,0,0.0,0.539,0.0,0,2023,3,17,1,0,0,0,0,0,0
11.82,,10.86,13.13,1010.0,92.0,1.8,23.0,1,0.0,0.323,0.0,0,2023,3,17,0,0,1,0,0,0,0
11.83,,10.86,13.13,1010.0,93.0,1.82,23.0,2,0.0,0.254,0.0,0,2023,3,17,0,0,1,0,0,0,0
11.23,,10.53,11.73,1010.0,93.0,1.87,32.0,3,0.0,0.251,0.0,0,2023,3,17,0,0,0,0,0,0,1
11.44,,9.98,12.13,1010.0,98.0,1.87,36.0,4,0.0,0.247,0.0,0,2023,3,17,0,0,0,0,0,0,1
10.68,,10.31,11.18,1011.0,92.0,1.95,38.0,5,0.0,0.247,0.0,0,2023,3,17,0,0,0,0,0,0,1
10.71,,9.75,12.13,1011.0,92.0,2.2,33.0,6,0.0,0.245,0.0,0,2023,3,17,0,0,0,0,1,0,0
10.73,,10.31,12.13,1011.0,93.0,2.4,85.0,7,0.0,0.88,0.054,0,2023,3,17,0,0,0,0,0,1,0
10.74,,10.67,12.13,1011.0,93.0,3.48,93.0,8,1.208,0.0,0.111,0,2023,3,17,0,0,0,1,0,0,0
11.28,,10.31,12.45,1012.0,94.0,4.01,95.0,9,0.06,0.0,0.293,0,2023,3,17,0,0,0,1,0,0,0
11.81,,11.42,12.75,1012.0,93.0,4.33,96.0,10,0.0,0.0,0.373,0,2023,3,17,0,0,0,0,0,1,0
11.29,,11.09,12.45,1012.0,93.0,5.43,97.0,11,0.0,0.0,0.356,0,2023,3,17,0,0,0,0,0,1,0
12.36,,11.98,13.01,1013.0,91.0,5.16,98.0,12,0.0,0.0,0.361,0,2023,3,17,0,0,0,0,0,1,0
13.94,,11.42,14.0,1013.0,81.0,6.0,23.0,13,0.0,0.0,0.315,0,2023,3,17,0,0,1,0,0,0,0
13.45,,12.53,13.95,1013.0,85.0,5.99,28.0,14,0.046,0.0,0.301,0,2023,3,17,0,0,0,0,0,0,1
12.4,,12.2,13.64,1013.0,86.0,5.55,42.0,15,0.126,0.0,0.201,0,2023,3,17,0,0,0,1,0,0,0
11.89,,11.78,14.13,1013.0,91.0,4.89,53.0,16,0.132,0.0,0.174,0,2023,3,17,1,0,0,0,0,0,0
12.33,,11.9,12.84,1013.0,89.0,4.01,59.0,17,1.279,0.0,0.045,0,2023,3,17,1,0,0,0,0,0,0
11.83,,11.09,13.4,1014.0,90.0,3.19,49.0,18,2.048,0.0,0.006,0,2023,3,17,0,0,0,0,0,0,1
10.25,,10.11,13.13,1014.0,91.0,1.52,77.0,19,1.119,0.0,0.0,0,2023,3,17,1,0,0,0,0,0,0
10.21,,10.11,12.29,1015.0,93.0,1.12,68.0,20,0.492,0.0,0.0,0,2023,3,17,1,0,0,0,0,0,0
10.22,,10.11,12.29,1015.0,93.0,1.14,76.0,21,0.45,0.0,0.0,0,2023,3,17,1,0,0,0,0,0,0
10.22,,10.11,12.29,1016.0,93.0,0.73,70.0,22,0.0,0.8,0.0,0,2023,3,17,1,0,0,0,0,0,0
10.68,,9.75,11.13,1016.0,93.0,0.61,66.0,23,0.0,0.563,0.0,0,2023,3,17,1,0,0,0,0,0,0
10.87,,9.75,11.18,1015.0,96.0,0.7,70.0,0,0.0,0.496,0.0,0,2023,3,18,1,0,0,0,0,0,0
10.43,,9.42,11.18,1015.0,96.0,0.98,75.0,1,0.0,0.495,0.0,0,2023,3,18,1,0,0,0,0,0,0
11.12,,9.42,12.13,1015.0,94.0,1.17,87.0,2,0.0,0.43,0.0,0,2023,3,18,0,0,0,1,0,0,0
10.15,,9.75,11.13,1015.0,94.0,1.39,91.0,3,0.0,0.367,0.0,0,2023,3,18,0,0,0,0,0,1,0
10.12,,9.75,10.62,1015.0,94.0,1.45,94.0,4,0.0,0.275,0.0,0,2023,3,18,0,0,0,1,0,0,0
10.12,,9.98,10.62,1016.0,94.0,1.43,95.0,5,0.0,0.282,0.0,0,2023,3,18,0,0,0,0,0,1,0
10.15,,9.98,11.13,1016.0,94.0,1.48,96.0,6,0.0,0.311,0.0,0,2023,3,18,0,0,0,0,0,1,0
